country,Hourly Wage in $,year,wage
ABW,18.99,2024,
AFE,0.78,2024,
AFG,0.2,2023,
AFR,,,
AFW,0.68,2024,
AGO,1.28,2024,
ALB,5.47,2024,
AND,23.7,2024,
ARB,3.65,2024,
ARE,24.17,2024,
ARG,6.72,2024,
ARM,4.11,2024,
ASM,8.66,2022,
ATG,11.32,2024,
AUS,31.06,2024,
AUT,28.01,2024,
AZE,3.5,2024,
BDI,0.11,2024,
BEA,,,
BEC,,,
BEL,27.22,2024,
BEN,0.71,2024,
BFA,0.47,2024,
BGD,1.25,2024,
BGR,8.46,2024,
BHI,,,
BHR,14.26,2024,
BHS,18.97,2024,
BIH,4.5,2024,
BLA,,,
BLR,4.0,2024,
BLZ,3.69,2024,
BMN,,,
BMU,68.68,2024,
BOL,2.13,2024,
BRA,4.96,2024,
BRB,12.76,2024,
BRN,15.94,2024,
BSS,,,
BTN,1.84,2023,
BWA,3.7,2024,
CAA,,,
CAF,0.25,2024,
CAN,26.13,2024,
CEA,,,
CEB,11.83,2024,
CEU,,,
CHE,50.0,2024,
CHI,35.86,2023,
CHL,8.03,2024,
CHN,6.4,2024,
CIV,1.31,2024,
CLA,,,
CME,,,
CMR,0.88,2024,
COD,0.31,2024,
COG,1.19,2024,
COL,3.81,2024,
COM,0.8,2024,
CPV,2.5,2024,
CRI,8.94,2024,
CSA,,,
CSS,9.57,2024,
CUB,4.62,2020,
CUW,10.98,2024,
CYM,47.67,2023,
CYP,18.59,2024,
CZE,15.3,2024,
DEA,,,
DEC,,,
DEU,26.97,2024,
DJI,1.71,2024,
DLA,,,
DMA,5.0,2024,
DMN,,,
DNK,34.15,2024,
DNS,,,
DOM,5.23,2024,
DSA,,,
DSF,,,
DSS,,,
DZA,2.77,2024,
EAP,5.0,2024,
EAR,2.14,2024,
EAS,6.45,2024,
ECA,4.71,2024,
ECS,15.17,2024,
ECU,3.31,2024,
EGY,1.61,2024,
EMU,22.57,2024,
ERI,0.33,2011,
ESP,16.98,2024,
EST,15.11,2024,
ETH,0.55,2024,
EUU,20.82,2024,
FCS,0.73,2024,
FIN,25.55,2024,
FJI,3.09,2024,
FRA,22.16,2024,
FRO,35.63,2024,
FSM,2.0,2024,
FXS,,,
GAB,3.96,2024,
GBR,25.6,2024,
GEO,4.44,2024,
GHA,1.15,2024,
GIB,,,
GIN,0.81,2024,
GMB,0.42,2024,
GNB,0.48,2024,
GNQ,3.24,2024,
GRC,11.84,2024,
GRD,5.63,2024,
GRL,28.12,2023,
GTM,2.96,2024,
GUM,20.11,2022,
GUY,14.27,2024,
HIC,24.18,2024,
HKG,26.0,2024,
HND,1.65,2024,
HPC,0.58,2024,
HRV,11.56,2024,
HTI,1.03,2024,
HUN,11.2,2024,
IBB,,,
IBD,3.95,2024,
IBT,3.04,2024,
IDA,0.71,2024,
IDB,0.79,2024,
IDN,2.37,2024,
IDX,0.67,2024,
IMN,42.47,2022,
IND,1.3,2024,
INX,,,
IRL,54.28,2024,
IRN,2.5,2024,
IRQ,2.92,2024,
ISL,41.37,2024,
ISR,26.05,2024,
ITA,19.42,2024,
JAM,3.73,2024,
JOR,2.22,2024,
JPN,15.62,2024,
KAZ,6.81,2024,
KEN,1.03,2024,
KGZ,1.16,2024,
KHM,1.26,2024,
KIR,1.1,2024,
KNA,11.52,2024,
KOR,17.42,2024,
KWT,15.73,2024,
LAC,4.99,2024,
LAO,1.02,2024,
LBN,1.67,2023,
LBR,0.41,2024,
LBY,3.16,2024,
LCA,6.82,2024,
LCN,5.16,2024,
LDC,0.62,2024,
LIC,0.36,2024,
LIE,99.41,2023,
LKA,2.17,2024,
LMC,1.22,2024,
LMY,2.89,2024,
LSO,0.47,2024,
LTE,6.19,2024,
LTU,14.13,2024,
LUX,66.24,2024,
LVA,11.25,2024,
MAC,34.62,2024,
MAF,10.42,2021,
MAR,2.0,2024,
MCO,138.46,2024,
MDA,3.64,2024,
MDE,,,
MDG,0.26,2024,
MDV,6.43,2024,
MEA,3.01,2024,
MEX,6.82,2024,
MHL,3.71,2024,
MIC,3.15,2024,
MKD,4.47,2024,
MLI,0.53,2024,
MLT,21.11,2024,
MMR,0.65,2024,
MNA,1.43,2024,
MNE,6.38,2024,
MNG,3.25,2024,
MNP,11.44,2022,
MOZ,0.32,2024,
MRT,1.01,2024,
MUS,5.76,2024,
MWI,0.25,2024,
MYS,5.71,2024,
NAC,39.07,2024,
NAF,,,
NAM,2.12,2024,
NCL,14.04,2024,
NER,0.35,2024,
NGA,0.52,2024,
NIC,1.37,2024,
NLD,32.46,2024,
NOR,41.72,2024,
NPL,0.7,2024,
NRS,,,
NRU,6.54,2024,
NXS,,,
NZL,23.66,2024,
OED,23.23,2024,
OMN,9.75,2024,
OSS,7.74,2024,
PAK,0.71,2024,
PAN,9.21,2024,
PER,4.06,2024,
PHL,1.92,2024,
PLW,7.51,2023,
PNG,1.45,2024,
POL,12.07,2024,
PRE,0.66,2024,
PRI,18.92,2024,
PRK,,,
PRT,14.08,2024,
PRY,3.08,2024,
PSE,1.25,2024,
PSS,2.14,2024,
PST,26.75,2024,
PYF,10.79,2024,
QAT,36.87,2024,
ROU,9.65,2024,
RRS,,,
RUS,7.16,2024,
RWA,0.48,2024,
SAS,1.29,2024,
SAU,16.89,2024,
SDN,0.47,2024,
SEN,0.85,2024,
SGP,43.59,2024,
SLB,0.93,2024,
SLE,0.39,2024,
SLV,2.68,2024,
SMR,28.79,2023,
SOM,0.3,2024,
SRB,6.58,2024,
SSA,0.76,2024,
SSD,0.52,2015,
SSF,0.74,2024,
SST,7.4,2024,
STP,1.68,2024,
SUR,3.35,2024,
SVK,12.5,2024,
SVN,16.49,2024,
SWE,27.46,2024,
SWZ,1.88,2024,
SXM,19.94,2024,
SXZ,,,
SYC,8.59,2024,
SYR,0.51,2022,
TCA,18.03,2024,
TCD,0.46,2024,
TEA,5.05,2024,
TEC,6.41,2024,
TGO,0.54,2024,
THA,3.53,2024,
TJK,0.64,2024,
TKM,3.3,2024,
TLA,5.04,2024,
TLS,0.64,2024,
TMN,1.43,2024,
TON,2.72,2023,
TSA,1.29,2024,
TSS,0.74,2024,
TTO,9.01,2024,
TUN,2.01,2024,
TUR,7.64,2024,
TUV,3.05,2023,
TZA,0.57,2024,
UGA,0.52,2024,
UKR,2.59,2024,
UMC,5.29,2024,
URY,11.49,2024,
USA,40.64,2024,
UZB,1.52,2024,
VCT,5.53,2024,
VEN,2.03,2024,
VGB,,,
VIR,21.31,2022,
VNM,2.27,2024,
VUT,1.64,2024,
WLD,6.55,2024,
WSM,2.59,2024,
XKX,3.38,2024,
XZN,,,
YEM,0.3,2018,
ZAF,3.01,2024,
ZMB,0.57,2024,
ZWE,1.2,2024,
